tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek
2 pokoje blisko Manufaktury,https://www.otodom.pl/pl/oferta/2-pokoje-blisko-manufaktury-ID4w5bB.html,"Łódź, Polesie",44.74,355000.0,7935.0,722.0,2.0,,wtórny
3 pokoje w super cenie ! Radogoszcz Wschód,https://www.otodom.pl/pl/oferta/3-pokoje-w-super-cenie-radogoszcz-wschod-ID4s5RA.html,"Łódź, Bałuty",53.0,389000.0,7340.0,700.0,3.0,,wtórny
2-pokojowe mieszkanie 48 m - BAŁUTY,https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-48-m-baluty-CID3-ID14EYIL.html,"Łódź, Bałuty",48.11,307904.0,6400.0,,2.0,Blok,Wtórny
BEZ PROWIZJI. 2 pokoje przy Podmiejskiej - GÓRNA,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokoje-przy-podmiejskiej-gorna-ID4wjHF.html,"Łódź, Górna",43.0,319900.0,7440.0,545.0,2.0,,wtórny
"Mieszkanie 35m2 przy Lasku Widzewskim, duży balkon",https://www.otodom.pl/pl/oferta/mieszkanie-35m2-przy-lasku-widzewskim-duzy-balkon-ID4w2c1.html,"Łódź, Widzew",35.0,249000.0,7114.0,300.0,1.0,,wtórny
"przestronne mieszkanie z garażem na rodzinym osiedlu, Łódź Górna",https://www.olx.pl/d/oferta/przestronne-mieszkanie-z-garazem-na-rodzinym-osiedlu-lodz-gorna-CID3-ID10gVhT.html,"Łódź, Górna",95.21,749000.0,7866.82,,4.0,Apartamentowiec,Wtórny
Duże 3 pokoje przy Teatrze Jaracza,https://www.otodom.pl/pl/oferta/duze-3-pokoje-przy-teatrze-jaracza-ID4uc67.html,"Łódź, Śródmieście",101.04,363500.0,3598.0,777.0,3.0,,wtórny
Unikatowe 3 pokojowe mieszkanie na osiedlu Etiuda,https://www.otodom.pl/pl/oferta/unikatowe-3-pokojowe-mieszkanie-na-osiedlu-etiuda-ID4w9ZC.html,Łódź,63.6,699000.0,10991.0,600.0,3.0,,wtórny
Mieszkanie 45m 2 pokoje Teofilów,https://www.olx.pl/d/oferta/mieszkanie-45m-2-pokoje-teofilow-CID3-ID14TeLg.html,"Łódź, Bałuty",45.0,340000.0,7555.56,,2.0,Blok,Wtórny
Nowoczesne 3-pokoje/Duży Taras/Winda/Garaż !!!,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokoje-duzy-taras-winda-garaz-ID4uCV4.html,"Łódź, Bałuty",46.29,566000.0,12227.0,,3.0,,wtórny
Stylowy Penthouse na Złotnie – California Dreaming,https://www.otodom.pl/pl/oferta/stylowy-penthouse-na-zlotnie-california-dreaming-ID4stbI.html,"Łódź, Polesie",212.68,2399999.0,11285.0,,6.0,,wtórny
"Retkinia Północ, 3 Pokoje Na 1 Piętrze , Loggia",https://www.otodom.pl/pl/oferta/retkinia-polnoc-3-pokoje-na-1-pietrze-loggia-ID4uWz8.html,"Łódź, Polesie",53.0,439000.0,8283.0,515.0,3.0,,wtórny
Rokicie. Rozkładowe M-3 do własnej aranżacji,https://www.otodom.pl/pl/oferta/rokicie-rozkladowe-m-3-do-wlasnej-aranzacji-ID4wl4n.html,"Łódź, Górna",38.0,300000.0,7895.0,511.0,2.0,,wtórny
Nowoczesne 3- Pokojowe Mieszkanie Na Sprzedaż !,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-na-sprzedaz-ID4uUsL.html,"Łódź, Górna",53.02,470000.0,8865.0,785.0,3.0,,wtórny
Mieszkanie W Samym Centrum Łodzi,https://www.otodom.pl/pl/oferta/mieszkanie-w-samym-centrum-lodzi-ID4w00K.html,"Łódź, Śródmieście",41.81,399000.0,9543.0,0.0,2.0,,wtórny
Wyjątkowa oferta - ###,https://www.otodom.pl/pl/oferta/wyjatkowa-oferta-ID4uBQP.html,"Łódź, Bałuty",50.0,469000.0,9380.0,800.0,3.0,,wtórny
"Retkinia! M3 wykończone pod klucz! Balkon, winda!",https://www.otodom.pl/pl/oferta/retkinia-m3-wykonczone-pod-klucz-balkon-winda-ID4w19Z.html,"Łódź, Polesie",42.42,419000.0,9877.0,480.0,2.0,,wtórny
2 pokoje z kuchnią w bloku z cegły przy Manu.,https://www.otodom.pl/pl/oferta/2-pokoje-z-kuchnia-w-bloku-z-cegly-przy-manu-ID4wqQY.html,"Łódź, Bałuty",46.97,319000.0,6792.0,550.0,2.0,,wtórny
Apartamentowiec Wysoki Standard MAESTRIA PARK,https://www.otodom.pl/pl/oferta/apartamentowiec-wysoki-standard-maestria-park-ID4wjl2.html,Łódź,37.55,515000.0,13715.0,530.0,2.0,,pierwotny
Nowe 3 pokoje przy manufakturze! Garaż w cenie!,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-przy-manufakturze-garaz-w-cenie-ID4uEih.html,"Łódź, Polesie",53.07,510000.0,9610.0,10.0,3.0,,wtórny
Mieszkanie jeden pokój z wnęką,https://www.otodom.pl/pl/oferta/mieszkanie-jeden-pokoj-z-wneka-ID4wrIp.html,"Łódź, Bałuty",34.0,250000.0,7353.0,660.0,1.0,,wtórny
"Po Generalnym Remoncie, Pełna Własność",https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-pelna-wlasnosc-ID4waE3.html,"Łódź, Bałuty",50.2,450000.0,8964.0,613.0,3.0,,wtórny
"Kawalerka w Centrum, ul. 6 Sierpnia, 31,06",https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-ul-6-sierpnia-31-06-ID4uvTp.html,"Łódź, Śródmieście",31.06,310000.0,9981.0,574.0,1.0,,wtórny
Mieszkanie dwupokojowe Dąbrowa duża piwnica ok 10m,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-dabrowa-duza-piwnica-ok-10m-ID4w4r3.html,"Łódź, Górna",37.0,263000.0,7108.0,400.0,2.0,,wtórny
"Kawalerka, Idealna inwestycja pod wynajem, Bałuty",https://www.otodom.pl/pl/oferta/kawalerka-idealna-inwestycja-pod-wynajem-baluty-ID4w22p.html,"Łódź, Bałuty",18.7,179000.0,9572.0,,1.0,,wtórny
M3 ul. Rydzowa sprzedam,https://www.olx.pl/d/oferta/m3-ul-rydzowa-sprzedam-CID3-ID14LnnT.html,"Łódź, Bałuty",38.0,329000.0,8657.89,,2.0,Blok,Wtórny
Kawalerka Pod Klucz Przy Manu W Ładnej Kamienicy,https://www.otodom.pl/pl/oferta/kawalerka-pod-klucz-przy-manu-w-ladnej-kamienicy-ID4uMXi.html,"Łódź, Polesie",13.09,162000.0,12376.0,0.0,1.0,,wtórny
obok CH SUKCESJA⭐dodatkowy rabat⭐Politechnika Łódź,https://www.otodom.pl/pl/oferta/obok-ch-sukcesjadodatkowy-rabatpolitechnika-lodz-ID4whTw.html,"Łódź, Górna",59.0,524857.0,8896.0,,4.0,,pierwotny
4 - Pokojowe Mieszkanie Gotowe Do Wprowadzenia !,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-gotowe-do-wprowadzenia-ID4qnn9.html,"Łódź, Bałuty",70.5,630360.0,8941.0,990.0,4.0,,wtórny
Lniana 38m² IV p  sprzedam,https://www.olx.pl/d/oferta/lniana-38m-iv-p-sprzedam-CID3-ID14YyvZ.html,"Łódź, Bałuty",38.0,305000.0,8026.32,,2.0,Blok,Wtórny
Słoneczne 3-POKOJOWE mieszkanie po Remoncie- Górna,https://www.otodom.pl/pl/oferta/sloneczne-3-pokojowe-mieszkanie-po-remoncie-gorna-ID4uZL9.html,"Łódź, Górna",54.37,489000.0,8994.0,490.0,3.0,,wtórny
3 pokoje na cichym osiedlu przy parku ul.Liściast,https://www.otodom.pl/pl/oferta/3-pokoje-na-cichym-osiedlu-przy-parku-ul-lisciast-ID4w8db.html,"Łódź, Bałuty",62.0,459000.0,7403.0,,3.0,,wtórny
Duża kawlerka wykończona pod klucz al. 1 Maja 35,https://www.otodom.pl/pl/oferta/duza-kawlerka-wykonczona-pod-klucz-al-1-maja-35-ID4r8zc.html,"Łódź, Polesie",33.0,249000.0,7545.0,400.0,1.0,,wtórny
"2 pokoje, 40 mkw, ul. Deotymy, Łódź- Górna,balkon",https://www.otodom.pl/pl/oferta/2-pokoje-40-mkw-ul-deotymy-lodz-gorna-balkon-ID4utnn.html,"Łódź, Górna",40.1,329000.0,8204.0,600.0,2.0,,wtórny
3 Pokoje W Apartamentowcu Na Dołach,https://www.otodom.pl/pl/oferta/3-pokoje-w-apartamentowcu-na-dolach-ID4uB2Y.html,"Łódź, Bałuty",74.78,735000.0,9829.0,0.0,3.0,,wtórny
"Kawalerka, Bałuty, idealne pod inwestycję, OKAZJA!",https://www.otodom.pl/pl/oferta/kawalerka-baluty-idealne-pod-inwestycje-okazja-ID4w23v.html,"Łódź, Bałuty",16.45,164000.0,9970.0,,1.0,,wtórny
"Retkinia M3, 42.4m,  Balkon",https://www.otodom.pl/pl/oferta/retkinia-m3-42-4m-balkon-ID4uSba.html,"Łódź, Polesie",42.42,315000.0,7426.0,650.0,2.0,,wtórny
wykończenie 599zł/m2 do 31 marca⭐Balkon 12m2⭐4 pok,https://www.otodom.pl/pl/oferta/wykonczenie-599zl-m2-do-31-marcabalkon-12m24-pok-ID4woqy.html,"Łódź, Polesie",78.52,666702.0,8491.0,,4.0,,pierwotny
Mieszkanie 56m2 - gotowe do sprzedaży,https://www.olx.pl/d/oferta/mieszkanie-56m2-gotowe-do-sprzedazy-CID3-ID14Uwoi.html,"Łódź, Widzew",56.84,483140.0,8500.0,,3.0,Apartamentowiec,Pierwotny
"Sprzedam mieszkanie 2 pok, 50m2 +miejsce parking, blisko Manufaktury",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-2-pok-50m2-miejsce-parking-blisko-manufaktury-CID3-ID13Msh3.html,"Łódź, Bałuty",50.0,384200.0,7684.0,,2.0,Blok,Wtórny
Miszkanie ul. Brzechwy Łódź,https://www.otodom.pl/pl/oferta/miszkanie-ul-brzechwy-lodz-ID4wjMK.html,"Łódź, Widzew",66.91,499000.0,7458.0,990.0,3.0,,wtórny
Mieszkanie z pięknym widokiem (duża piwnica),https://www.otodom.pl/pl/oferta/mieszkanie-z-pieknym-widokiem-duza-piwnica-ID4wrmh.html,"Łódź, Bałuty",62.0,420000.0,6774.0,1000.0,3.0,,wtórny
Idealna Kawalerka Po Remoncie Na Widzewie,https://www.otodom.pl/pl/oferta/idealna-kawalerka-po-remoncie-na-widzewie-ID4uYBu.html,"Łódź, Widzew",25.82,235000.0,9101.0,400.0,1.0,,wtórny
sprzedam przytulną kawalerkę,https://www.otodom.pl/pl/oferta/sprzedam-przytulna-kawalerke-ID4wmYe.html,"Łódź, Bałuty",32.0,232000.0,7250.0,600.0,1.0,,wtórny
"Łódź, ul. Górna – 37 m², 2 pokoje, pełna własność!",https://www.otodom.pl/pl/oferta/lodz-ul-gorna-37-m-2-pokoje-pelna-wlasnosc-ID4wji4.html,"Łódź, Polesie",37.0,279000.0,7541.0,750.0,2.0,,wtórny
Piękne M-3 Bałuty ul. Plantowa 19,https://www.otodom.pl/pl/oferta/piekne-m-3-baluty-ul-plantowa-19-ID4sWNq.html,"Łódź, Bałuty",38.0,354000.0,9316.0,380.0,2.0,,wtórny
Mieszkanie W Super Lokalizacji Na Ul. Pabianickiej,https://www.otodom.pl/pl/oferta/mieszkanie-w-super-lokalizacji-na-ul-pabianickiej-ID4wgje.html,"Łódź, Górna",62.09,399000.0,6426.0,0.0,3.0,,wtórny
Dwupoziomowe Mieszkanie W Stanie Deweloperskim,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-w-stanie-deweloperskim-ID4sJ7c.html,"Łódź, Górna",33.0,258000.0,7818.0,200.0,2.0,,wtórny
Piękne M-5 z balkonem ul. Zgierska 110/120,https://www.otodom.pl/pl/oferta/piekne-m-5-z-balkonem-ul-zgierska-110-120-ID4wj6d.html,"Łódź, Bałuty",65.0,599000.0,9215.0,820.0,4.0,,wtórny
"ŻUBARDŹ, 2 pokoje po generalnym remoncie, balkon",https://www.olx.pl/d/oferta/zubardz-2-pokoje-po-generalnym-remoncie-balkon-CID3-ID14wm3n.html,"Łódź, Bałuty",39.0,370000.0,9487.18,,2.0,Blok,Wtórny
Sprzedam 2 pok. mieszkanie z balkonem w bloku.,https://www.otodom.pl/pl/oferta/sprzedam-2-pok-mieszkanie-z-balkonem-w-bloku-ID4wjIU.html,"Łódź, Górna",43.54,310000.0,7120.0,600.0,2.0,,wtórny
Przestronna Kawalerka Na Widzewie Wschodzie!,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-na-widzewie-wschodzie-ID4uxIR.html,"Łódź, Widzew",33.87,240000.0,7056.0,450.0,1.0,,wtórny
Kawalerka na osiedlu Montwiłła Mireckiego (Ip.) - bezpośrednio,https://www.olx.pl/d/oferta/kawalerka-na-osiedlu-montwilla-mireckiego-ip-bezposrednio-CID3-ID14NmvY.html,"Łódź, Polesie",33.34,275000.0,8248.35,,1.0,Blok,Wtórny
Mieszkanie w Willi Karola Asta,https://www.otodom.pl/pl/oferta/mieszkanie-w-willi-karola-asta-ID4w55c.html,"Łódź, Górna",155.0,850000.0,5484.0,,6.0,,wtórny
4 Pokoje Z Garderoba Po Generalnym Remoncie,https://www.otodom.pl/pl/oferta/4-pokoje-z-garderoba-po-generalnym-remoncie-ID4w2UQ.html,"Łódź, Polesie",65.0,659000.0,10138.0,550.0,4.0,,wtórny
Przestronne mieszkanie z klimatycznymi antresolami,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-klimatycznymi-antresolami-ID4sWGc.html,"Łódź, Śródmieście",73.0,359000.0,4918.0,380.0,2.0,,wtórny
Świeżutkie 2 pokoje na Dąbrowie z 2 balkonami,https://www.otodom.pl/pl/oferta/swiezutkie-2-pokoje-na-dabrowie-z-2-balkonami-ID4wrds.html,"Łódź, Górna",37.5,349900.0,9331.0,,2.0,,wtórny
2-Pokojowe Mieszkanie | Gotowe Do Zamieszkania!,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-gotowe-do-zamieszkania-ID4w0WN.html,"Łódź, Polesie",34.0,339970.0,9999.0,400.0,2.0,,wtórny
Mieszkanie 2-pokoje Widzew ul.Bartoka,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-widzew-ul-bartoka-ID4wpO6.html,"Łódź, Widzew",31.0,345000.0,11129.0,,2.0,,wtórny
Mieszkanie po generalnym remoncie do zmieszkania!,https://www.otodom.pl/pl/oferta/mieszkanie-po-generalnym-remoncie-do-zmieszkania-ID4sJd2.html,Łódź,33.9,375000.0,11062.0,454.0,2.0,,wtórny
Gotowe 2 Pokoje Na Teofilowie,https://www.otodom.pl/pl/oferta/gotowe-2-pokoje-na-teofilowie-ID4wamV.html,"Łódź, Bałuty",45.1,399000.0,8847.0,600.0,2.0,,wtórny
"3 Pokoje, Piękny widok, Po remoncie, Wyposażone!",https://www.otodom.pl/pl/oferta/3-pokoje-piekny-widok-po-remoncie-wyposazone-ID4wtpU.html,"Łódź, Widzew",50.0,494000.0,9880.0,600.0,3.0,,wtórny
"2 pokoje, balkon, ul. Łączna, do wprowadzenia",https://www.otodom.pl/pl/oferta/2-pokoje-balkon-ul-laczna-do-wprowadzenia-ID4wtuw.html,"Łódź, Górna",29.0,299970.0,10344.0,400.0,2.0,,pierwotny
Inwestycja bez wysiłku: 3-pokojowe - Plac Hallera,https://www.otodom.pl/pl/oferta/inwestycja-bez-wysilku-3-pokojowe-plac-hallera-ID4w96Z.html,"Łódź, Polesie",65.0,519000.0,7985.0,740.0,3.0,,wtórny
Trzypokojowe mieszkanie na sprzedaż Łódź-Polesie,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-sprzedaz-lodz-polesie-ID4w5Xm.html,"Łódź, Górna",62.94,355000.0,5640.0,920.83,3.0,,wtórny
3 pokoje do remontu Dąbrowa,https://www.otodom.pl/pl/oferta/3-pokoje-do-remontu-dabrowa-ID4wgTk.html,"Łódź, Górna",45.21,321500.0,7111.0,620.0,3.0,,wtórny
"Rozkładowe, Przestronne M3 Na Bałutach",https://www.otodom.pl/pl/oferta/rozkladowe-przestronne-m3-na-balutach-ID4w3AO.html,"Łódź, Bałuty",52.2,334360.0,6405.0,500.0,2.0,,wtórny
Mieszkanie Do Aranżacji W Centrum Miasta!,https://www.otodom.pl/pl/oferta/mieszkanie-do-aranzacji-w-centrum-miasta-ID4w17m.html,"Łódź, Śródmieście",61.0,289000.0,4738.0,600.0,2.0,,wtórny
Sprzedam mieszkanie 2 pokojowe Łódź Bałuty ul. Sojczyńskiego,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-2-pokojowe-lodz-baluty-ul-sojczynskiego-CID3-ID14PDsa.html,"Łódź, Bałuty",48.54,360000.0,7416.56,,2.0,Blok,Wtórny
M3 z garażem - Rondo Lotników,https://www.otodom.pl/pl/oferta/m3-z-garazem-rondo-lotnikow-ID4sGLo.html,"Łódź, Górna",45.13,430000.0,9528.0,500.0,2.0,,wtórny
Nowa kawalerka w Villi Romanów,https://www.otodom.pl/pl/oferta/nowa-kawalerka-w-villi-romanow-ID4wlpJ.html,"Łódź, Polesie",30.61,375000.0,12251.0,,1.0,,wtórny
Przytulne mieszkanie na ul. Mokrej,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-ul-mokrej-ID4tc93.html,"Łódź, Bałuty",47.0,352500.0,7500.0,740.0,2.0,,wtórny
"Stan deweloperski, słoneczne, balkon, garaż",https://www.otodom.pl/pl/oferta/stan-deweloperski-sloneczne-balkon-garaz-ID4wkSA.html,"Łódź, Polesie",52.26,470000.0,8993.0,,3.0,,wtórny
3 pokoje Rondo Lotników Lwowskich,https://www.otodom.pl/pl/oferta/3-pokoje-rondo-lotnikow-lwowskich-ID4uQ4c.html,"Łódź, Górna",54.0,389000.0,7204.0,800.0,3.0,,wtórny
Nowoczesna kawalerka na Wysokiej,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-na-wysokiej-ID4wnRI.html,"Łódź, Widzew",29.0,347971.0,11999.0,480.0,1.0,,wtórny
Luksusowa Oaza Spokoju Dla Ciebie!,https://www.otodom.pl/pl/oferta/luksusowa-oaza-spokoju-dla-ciebie-ID4ro6o.html,"Łódź, Bałuty",89.9,718360.0,7991.0,1080.0,3.0,,wtórny
Drugie piętro!,https://www.otodom.pl/pl/oferta/drugie-pietro-ID4uGfD.html,"Łódź, Widzew",48.0,339000.0,7063.0,,3.0,,wtórny
Duża kawalerka na parterze - Widzew,https://www.otodom.pl/pl/oferta/duza-kawalerka-na-parterze-widzew-ID4uxe2.html,"Łódź, Widzew",35.34,275000.0,7782.0,500.0,1.0,,wtórny
"Pewna inwestycja, pod studenta, Lumumbowo, cegła",https://www.otodom.pl/pl/oferta/pewna-inwestycja-pod-studenta-lumumbowo-cegla-ID4w0Oq.html,"Łódź, Śródmieście",52.0,369000.0,7096.0,800.0,3.0,,wtórny
"M3 rozkładowe parter, Teofilów ul. Rojna",https://www.otodom.pl/pl/oferta/m3-rozkladowe-parter-teofilow-ul-rojna-ID4w4Ym.html,"Łódź, Bałuty",37.48,285000.0,7604.0,495.0,2.0,,wtórny
Mieszkanie inwestycyjne przy OFF Piotrkowska.,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-przy-off-piotrkowska-ID4weAX.html,"Łódź, Śródmieście",34.36,269000.0,7829.0,720.0,1.0,,wtórny
NOWA Kawalerka z tarasem/0% PCC/przy Politechnice/600m Piotrkowska,https://www.olx.pl/d/oferta/nowa-kawalerka-z-tarasem-0-pcc-przy-politechnice-600m-piotrkowska-CID3-ID14NfUw.html,"Łódź, Śródmieście",28.0,380000.0,13571.43,,1.0,Apartamentowiec,Pierwotny
⭐3 Pokoje⭐Do remontu⭐1piętro⭐Balkon,https://www.otodom.pl/pl/oferta/3-pokojedo-remontu1pietrobalkon-ID4wela.html,"Łódź, Widzew",47.0,329000.0,7000.0,450.0,3.0,,wtórny
PILNIE SPRZEDAM | 3 Pokoje | 53M2 | ŁÓDŹ Retkinia,https://www.otodom.pl/pl/oferta/pilnie-sprzedam-3-pokoje-53m2-lodz-retkinia-ID4w0x5.html,"Łódź, Polesie",53.0,385000.0,7264.0,490.0,3.0,,wtórny
Dobra Cena! 3-pokoje 800m od Monopolis!,https://www.otodom.pl/pl/oferta/dobra-cena-3-pokoje-800m-od-monopolis-ID4u0Hg.html,"Łódź, Widzew",47.62,335000.0,7035.0,580.0,3.0,,wtórny
Nowoczesne M4 po remoncie - gotowe do zamieszkania,https://www.otodom.pl/pl/oferta/nowoczesne-m4-po-remoncie-gotowe-do-zamieszkania-ID4uMRR.html,"Łódź, Górna",57.0,589000.0,10333.0,580.0,4.0,,wtórny
Zachodnia 29 | mieszkanie 2-pok. | 52,https://www.otodom.pl/pl/oferta/zachodnia-29-mieszkanie-2-pok-52-ID4t26q.html,"Łódź, Bałuty",36.87,457188.0,12400.0,,2.0,,pierwotny
Blok Łódź 43m2 ul. Wilcza,https://www.otodom.pl/pl/oferta/blok-lodz-43m2-ul-wilcza-ID4uYNS.html,"Łódź, Widzew",43.2,339000.0,7847.0,615.0,2.0,,wtórny
"Górna, po generalnym remoncie wysoki parter balkon",https://www.olx.pl/d/oferta/gorna-po-generalnym-remoncie-wysoki-parter-balkon-CID3-ID14uzSR.html,"Łódź, Górna",63.0,599970.0,9523.33,,4.0,Blok,Wtórny
Twoja Szansa na Wymarzone Mieszkanie z Loggią!,https://www.otodom.pl/pl/oferta/twoja-szansa-na-wymarzone-mieszkanie-z-loggia-ID4r8XG.html,"Łódź, Górna",48.0,314900.0,6560.0,670.0,2.0,,wtórny
Nowa Cena! Rozkładowe M4 Na Stokach,https://www.otodom.pl/pl/oferta/nowa-cena-rozkladowe-m4-na-stokach-ID4tY7B.html,"Łódź, Widzew",57.08,320000.0,5606.0,740.0,3.0,,wtórny
"2-pokojowe, rozkładowe Teofilów przy basenie!!",https://www.otodom.pl/pl/oferta/2-pokojowe-rozkladowe-teofilow-przy-basenie-ID4sY62.html,"Łódź, Bałuty",37.84,285000.0,7532.0,495.0,2.0,,wtórny
"Kawalerka do remontu / 26,5 / balkon / Karolew",https://www.olx.pl/d/oferta/kawalerka-do-remontu-26-5-balkon-karolew-CID3-ID14XVFJ.html,"Łódź, Polesie",26.5,225700.0,8516.98,,1.0,Blok,Wtórny
Przestronne Komfortowe Dwustronne M4 Z Balkonem,https://www.otodom.pl/pl/oferta/przestronne-komfortowe-dwustronne-m4-z-balkonem-ID4w8uc.html,"Łódź, Górna",67.56,560000.0,8289.0,900.0,3.0,,wtórny
Apartamenty Zagajnikowa | 2 Pokoje + Duży Taras,https://www.otodom.pl/pl/oferta/apartamenty-zagajnikowa-2-pokoje-duzy-taras-ID4w16K.html,"Łódź, Bałuty",50.6,599610.0,11850.0,575.0,2.0,,wtórny
2 Pokoje w nowym budownictwie + garaż,https://www.otodom.pl/pl/oferta/2-pokoje-w-nowym-budownictwie-garaz-ID4w9td.html,"Łódź, Polesie",38.0,420000.0,11053.0,400.0,2.0,,wtórny
Rozkładowe M3 do własnej aranżacji-Polesie,https://www.otodom.pl/pl/oferta/rozkladowe-m3-do-wlasnej-aranzacji-polesie-ID4w6z1.html,"Łódź, Polesie",44.0,299000.0,6795.0,570.0,2.0,,wtórny
Nowe 4 pokojowe z dużym balkonem,https://www.otodom.pl/pl/oferta/nowe-4-pokojowe-z-duzym-balkonem-ID4wl5o.html,"Łódź, Górna",66.26,629470.0,9500.0,500.0,4.0,,pierwotny
Mieszkanie w zrewitalizowanej kamienicy w CENTRUM,https://www.otodom.pl/pl/oferta/mieszkanie-w-zrewitalizowanej-kamienicy-w-centrum-ID4uVEy.html,"Łódź, Polesie",43.0,260000.0,6047.0,,1.0,,wtórny
Kawalerka W Wieżowcu Na Dąbrowie,https://www.otodom.pl/pl/oferta/kawalerka-w-wiezowcu-na-dabrowie-ID4w9tk.html,"Łódź, Górna",27.0,230000.0,8519.0,350.0,1.0,,wtórny
Zgarnij Rabat do 25tyś + Nowe 3 pokoje +GARAŻ/BOKS,https://www.otodom.pl/pl/oferta/zgarnij-rabat-do-25tys-nowe-3-pokoje-garaz-boks-ID4wnTR.html,"Łódź, Śródmieście",54.0,465700.0,8624.0,,3.0,,pierwotny
9301zł/m2+dodatkowy rabat⭐1500m od ul. Piotrkowska,https://www.otodom.pl/pl/oferta/9301zl-m2-dodatkowy-rabat1500m-od-ul-piotrkowska-ID4wtfb.html,"Łódź, Górna",52.08,484422.0,9301.0,,3.0,,pierwotny
3 pokoje w pięknej okolicy. Bez prowizji.,https://www.otodom.pl/pl/oferta/3-pokoje-w-pieknej-okolicy-bez-prowizji-ID4t8VO.html,"Łódź, Widzew",66.43,571298.0,8600.0,700.0,3.0,,pierwotny
3-pokojowe mieszkanie na Widzewie Wschodzie,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-widzewie-wschodzie-ID4uYv8.html,"Łódź, Widzew",55.0,425000.0,7727.0,,3.0,,wtórny
Spokojny Zakątek Blisko Centrum Miasta,https://www.otodom.pl/pl/oferta/spokojny-zakatek-blisko-centrum-miasta-ID4tkTH.html,"Łódź, Bałuty",41.2,335360.0,8140.0,500.0,2.0,,wtórny
Rozkładowe M4 z widokiem na Park!,https://www.otodom.pl/pl/oferta/rozkladowe-m4-z-widokiem-na-park-ID4uWNh.html,"Łódź, Bałuty",57.0,545000.0,9561.0,750.0,3.0,,wtórny
Kawalerka w centrum blisko Manu I UM. Zielona 47,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-blisko-manu-i-um-zielona-47-ID4w0uV.html,"Łódź, Polesie",27.0,184999.0,6852.0,300.0,1.0,,wtórny
M-3 Zarzew blisko Parku Podolskiego,https://www.otodom.pl/pl/oferta/m-3-zarzew-blisko-parku-podolskiego-ID4tv1D.html,Łódź,36.7,310000.0,8447.0,780.0,2.0,,wtórny
Retkinia. Piękne 4 pokoje. Meble na Wymiar. AGD/TV,https://www.otodom.pl/pl/oferta/retkinia-piekne-4-pokoje-meble-na-wymiar-agd-tv-ID4wpm5.html,"Łódź, Polesie",64.0,619000.0,9672.0,620.0,4.0,,wtórny
"Prywatnie! Rozkładowe M3 przy Politechnice, balkon",https://www.otodom.pl/pl/oferta/prywatnie-rozkladowe-m3-przy-politechnice-balkon-ID4w1bM.html,"Łódź, Górna",36.5,365000.0,10000.0,400.0,2.0,,wtórny
Gotowiec inwestycyjny 5 pokoi Centrum,https://www.olx.pl/d/oferta/gotowiec-inwestycyjny-5-pokoi-centrum-CID3-ID14UFIx.html,"Łódź, Śródmieście",64.63,465000.0,7194.8,,4.0,Kamienica,Wtórny
Mini apartamet w wieżowcu z widokiem na panoramę,https://www.otodom.pl/pl/oferta/mini-apartamet-w-wiezowcu-z-widokiem-na-panorame-ID4wce0.html,"Łódź, Górna",37.0,365000.0,9865.0,360.0,2.0,,wtórny
Kawalerka na Chojnach,https://www.olx.pl/d/oferta/kawalerka-na-chojnach-CID3-ID14PJJE.html,"Łódź, Górna",34.63,285000.0,8229.86,,1.0,Blok,Wtórny
"Mieszkanie w kamienicy, centrum, ul. Legionów",https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-centrum-ul-legionow-ID4w2F0.html,"Łódź, Śródmieście",61.67,360000.0,5838.0,400.0,2.0,,wtórny
Mieszkanie 42 m2 Łódź Polesie,https://www.otodom.pl/pl/oferta/mieszkanie-42-m2-lodz-polesie-ID4fIpF.html,"Łódź, Polesie",42.0,330000.0,7857.0,400.0,1.0,,wtórny
