tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/dwukondygnacyjne-oryginalne-mieszkanie-w-centrum-ID4wcuS,,72.8,595000.0,8173.0,500.0,3.0,kamienica,wtórny,gazowe,3/3,do zamieszkania,pełna własność,brak informacji,prywatny,"garaż/miejsce parkingowe, piwnica, oddzielna kuchnia",1920,nie,cegła,plastikowe,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,,otodom
,https://www.otodom.pl/pl/oferta/zenit-3d-mieszkanie-4-pok-61-ID4wJuy,,83.17,814733.0,9796.0,,4.0,blok,pierwotny,inne,8/8,do wykończenia,pełna własność,2025-12-30,deweloper,"balkon, garaż/miejsce parkingowe, pom. użytkowe",2025,tak,,plastikowe,,,,,otodom
,https://www.otodom.pl/pl/oferta/2-pokoje-do-odbioru-przy-metrze-z-garaze-w-cenie-ID4wJu0,,79.46,666646.0,8390.0,0.0,4.0,blok,wtórny,miejskie,1/10,do wykończenia,pełna własność,2025-03-17,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",2025,nie,cegła,plastikowe,A+,,"drzwi / okna antywłamaniowe, domofon / wideofon","internet, telewizja kablowa, telefon",otodom
,https://www.otodom.pl/pl/oferta/duza-kawalerka-do-remontu-z-pieknym-widokiem-ID4wJtF,,39.0,299000.0,7667.0,,1.0,blok,wtórny,brak informacji,8/11,do remontu,brak informacji,brak informacji,biuro nieruchomości,,1970,tak,wielka płyta,,,,,,otodom
,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-na-zielonym-romanowie-ID4wJtz,,132.0,725000.0,5492.0,1200.0,,blok,wtórny,miejskie,3/4,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, oddzielna kuchnia, pom. użytkowe",2006,nie,cegła,plastikowe,,"piekarnik, lodówka, pralka, zmywarka, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon",,otodom
,https://www.otodom.pl/pl/oferta/mieszkanie-w-zielonej-okolicy-idealne-dla-rodzin-ID4wJty,,52.93,420000.0,7935.0,750.0,3.0,blok,wtórny,miejskie,3/4,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,biuro nieruchomości,"balkon, pom. użytkowe",1979,nie,wielka płyta,,,,,"internet, telewizja kablowa",otodom
,https://www.otodom.pl/pl/oferta/gotowe-4-pokoje-do-odbioru-przy-metrze-z-garazem-ID4wJq8,,79.46,666574.0,8389.0,0.0,4.0,blok,wtórny,miejskie,1/10,do wykończenia,pełna własność,2025-03-17,biuro nieruchomości,"balkon, garaż/miejsce parkingowe",1899,nie,cegła,plastikowe,A+,,,"internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/centrum-37-m2-gotowe-do-wprowadzenia-z-parkingiem-ID4qSyH,,37.05,370000.0,9987.0,450.0,2.0,blok,wtórny,miejskie,parter/4,do zamieszkania,pełna własność,brak informacji,prywatny,"garaż/miejsce parkingowe, piwnica, oddzielna kuchnia, pom. użytkowe",,nie,cegła,plastikowe,A,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",otodom
,https://www.otodom.pl/pl/oferta/najtansze-2-pokoje-scisle-centrum-dni-otwarte-ID4wJnh,,41.0,372000.0,9073.0,,2.0,blok,pierwotny,miejskie,brak informacji,do wykończenia,pełna własność,brak informacji,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, pom. użytkowe",,tak,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet, telefon",otodom
,https://www.otodom.pl/pl/oferta/3-pokojowe-nowe-oddanie-iv-2025-ID4wJmK,,44.22,430000.0,9724.0,450.0,3.0,,pierwotny,brak informacji,parter/5,brak informacji,pełna własność,2025-04-30,biuro nieruchomości,"ogródek, taras, garaż/miejsce parkingowe",2025,nie,,,,,,,otodom
