tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/przestrzen-i-spokoj-w-centrum-lodzi-ID4wJM0.html,,54.63,327000.0,5986.0,980.0,2.0,kamienica,wtórny,miejskie,2/3,do zamieszkania,pełna własność,2025-03-31,biuro nieruchomości,"balkon, garaż/miejsce parkingowe, piwnica, oddzielna kuchnia, pom. użytkowe",1920,nie,cegła,,,,,,olx
,https://www.otodom.pl/pl/oferta/3-pokoje-przy-rondzie-lotnikow-lwowskich-ID4wIpH.html,,49.15,439000.0,8932.0,485.0,3.0,blok,wtórny,miejskie,3/4,do zamieszkania,brak informacji,brak informacji,biuro nieruchomości,"balkon, oddzielna kuchnia",,nie,cegła,plastikowe,,"piekarnik, zmywarka, kuchenka",,,olx
,https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-ID4wwXf.html,,87.0,660000.0,7586.0,,3.0,blok,wtórny,miejskie,4/4,do zamieszkania,brak informacji,brak informacji,biuro nieruchomości,"taras, piwnica, oddzielna kuchnia",1995,nie,cegła,,,"lodówka, meble, pralka",,,olx
,https://www.otodom.pl/pl/oferta/kawalerka-w-sercu-miasta-lodzki-manhattan-ID4wKQo.html,,38.07,268000.0,7040.0,670.0,1.0,blok,wtórny,miejskie,10/15,do remontu,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon, oddzielna kuchnia, pom. użytkowe",1980,tak,wielka płyta,plastikowe,W trakcie realizacji / Zwolnione,,,,olx
,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-ID4wKeE.html,,33.31,269000.0,8076.0,,1.0,blok,wtórny,elektryczne,4/4,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,,,nie,cegła,,,"lodówka, meble, pralka",,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/swiezo-po-remoncie-2-pokoje-bezposrednio-ID4wM0K.html,,37.2,370000.0,9946.0,500.0,2.0,blok,wtórny,miejskie,1/3,do zamieszkania,pełna własność,2025-04-03,biuro nieruchomości,"piwnica, oddzielna kuchnia",1951,nie,cegła,plastikowe,,,,,olx
,https://www.otodom.pl/pl/oferta/mieszkanie-w-zielonej-okolicy-idealne-dla-rodzin-ID4wJty.html,,52.93,420000.0,7935.0,750.0,3.0,blok,wtórny,miejskie,3/4,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,biuro nieruchomości,"balkon, pom. użytkowe",1979,nie,wielka płyta,,,,,"internet, telewizja kablowa",olx
,https://www.otodom.pl/pl/oferta/apartament-94-10m2-z-ogrodkiem-poddasze-20m2-ID4pI9A.html,,94.1,709000.0,7535.0,,4.0,,pierwotny,inne,parter,do wykończenia,pełna własność,brak informacji,prywatny,"ogródek, taras, garaż/miejsce parkingowe",,nie,pustak,plastikowe,,,,"telewizja kablowa, internet, telefon",olx
